,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,國澤 吉昭,くにさわ よしあき,70,1952-01-30,男,A,kunisawa@example.ne.jp,07-9201-6671,070-8449-5678,999-3224,山形県上山市皆沢3-1-17,NaN,4985496358576483,04/28,184225356838
1,板垣 愛弓,いたがき あゆみ,51,1971-02-02,女,O,itagaki_ayumi@example.net,07-6357-9028,050-8558-9334,378-0307,群馬県沼田市利根町柿平3-4-6,有限会社ブルーム,5791599156360071,01/31,939411809053
2,北沢 みき,きたざわ みき,38,1983-10-04,女,O,kitazawamiki@example.ne.jp,03-3287-4528,070-9260-1749,745-0617,山口県周南市勝間原1-2-3,株式会社大建,4995708266231016,02/31,840441750030
3,水野 久美,みずの くみ,27,1994-12-27,女,O,mizuno_kumi@example.net,03-2974-8971,050-4223-6026,761-8051,香川県高松市西春日町4-4-29,株式会社ベストライフ,377375560361950,09/24,232060772686
4,一瀬 大輔,いちのせ だいすけ,50,1972-03-03,男,B,ichinose_daisuke@example.co.jp,03-7149-8477,050-6813-1014,709-0835,岡山県赤磐市西中2-1-27,株式会社三幸,5164469357949719,07/23,264735016583
5,生島 憲幸,いくしま のりゆき,22,2000-05-23,男,A,noriyuki_ikushima@example.net,07-3915-4253,080-2307-2241,484-0099,愛知県犬山市富岡新町1-4-27,有限会社クリーンサービス,379040566896614,03/23,701952514304
6,濱村 春菜,はまむら はるな,28,1994-01-06,女,B,hamamura_haruna@example.jp,03-2751-9135,090-5350-7495,971-8168,福島県いわき市小名浜君ケ塚町3-4-10,株式会社メイセイ,4752391864922581,02/29,350397061501
7,星野 玲美,ほしの なるみ,59,1963-07-13,女,B,narumi_hoshino@example.co.jp,03-3670-3071,050-6982-3897,855-0075,長崎県島原市下折橋町2-1-15,株式会社プロシード,5080140616905601,03/31,542354088727
8,三ツ橋 由利子,みつはし ゆりこ,27,1995-06-02,女,A,mitsuhashi@example.jp,0517-73-9559,080-6027-1871,879-0621,大分県豊後高田市是永町5-3-16,株式会社フルハウス,373305536009930,12/26,150296197471
9,志方 みゆき,しかた みゆき,41,1981-04-13,女,A,shikata_miyuki@example.com,0765-45-5998,070-3544-2649,914-0013,福井県敦賀市谷口1-4-14,株式会社豊栄,5401992482440099,04/24,997373611968
10,橋 章裕,はし あきひろ,44,1978-06-01,男,O,hashi@example.net,0566-96-7580,050-8119-5929,496-0834,愛知県津島市南本町4-2-2,有限会社山田屋,5400227599341949,03/24,188010033891
11,門屋 友里,かどや ゆり,42,1980-07-03,女,O,kadoyayuri@example.com,03-2365-4880,090-5684-8019,498-0041,愛知県弥富市芝井2-1-8,株式会社サンライズ,4304348343773594,03/25,646379988228
12,牧 尚子,まき なおこ,40,1982-06-15,女,A,naokomaki@example.jp,03-3905-1024,090-8332-2734,500-8438,岐阜県岐阜市島原町1-5-7,株式会社ダイキ,4915047175914917,05/25,452651191278
13,瀬戸 香澄,せと かすみ,21,2000-12-01,女,O,kasumiseto@example.co.jp,06-3993-6188,090-6300-7256,247-0021,神奈川県横浜市栄区東上郷町4-5-24,株式会社玉屋,5362046032539180,03/29,983754827403
14,高城 はるか,たかぎ はるか,34,1988-05-18,女,A,takagi_haruka@example.com,03-4371-9859,090-7221-2109,876-0214,大分県佐伯市本匠上津川1-3-28,株式会社ショウエイ,4095335853481602,07/27,413953119840
15,佐瀬 史哉,させ ふみや,54,1968-02-10,男,B,fumiya_sase@example.com,04-2451-1714,070-9469-2159,987-0359,宮城県登米市豊里町八反5-2-7,有限会社アドバンス,5335495581485698,01/29,585744948343
16,長瀬 絵里子,ながせ えりこ,67,1954-09-13,女,B,eriko_nagase@example.ne.jp,05-8434-7416,080-8654-9808,616-8228,京都府京都市右京区常盤下田町2-5-2,NaN,4845752933696799,07/25,277332564767
17,砂川 香,すながわ かおり,44,1978-02-21,女,O,sunagawa_kaori@example.co.jp,03-2319-1888,070-7294-5705,290-0047,千葉県市原市岩崎3-4-7,株式会社NEXT,4839542405534676,07/32,948127501572
18,龍 綾香,りゅう あやか,67,1954-11-11,女,A,ayakaryuu@example.co.jp,03-2320-1930,090-9287-2086,370-2323,群馬県富岡市野上1-5-22,NaN,371417296071847,01/24,987032787885
19,橋詰 友佳,はしづめ ゆか,56,1966-04-17,女,A,yukahashizume@example.jp,0757-45-8370,070-4941-3919,550-323,北海道沙流郡平取町芽生4-5-9,株式会社キタムラ,377099369445934,03/25,573444271911
20,桑江 梢,くわえ こずえ,26,1996-05-11,女,B,kozue_kuwae@example.co.jp,0533-17-9020,090-7185-7947,879-1122,大分県宇佐市横田2-2-13,有限会社ケイ,5117283341586245,10/26,319145979071
21,小幡 聖,おばた まさし,37,1984-12-03,男,A,obatamasashi@example.jp,03-5414-3731,050-1810-7652,466-0837,愛知県名古屋市昭和区汐見町4-5-11,有限会社鈴木産業,5329554468307275,05/27,627569037039
22,櫛引 斐子,くしびき あやこ,57,1965-02-27,女,B,ayako@example.net,0638-97-2743,080-2031-7307,327-0836,栃木県佐野市寺中町1-4-19,株式会社三幸,372937946878133,03/28,725259715110
23,大畑 力也,おおはた りきや,59,1963-01-12,男,O,rikiya@example.com,07-4106-2500,050-8069-5433,441-1636,愛知県新城市富保3-2-19,株式会社ワタナベ,379910862404489,08/29,974923865425
24,武藤 建一,むとう けんいち,33,1989-09-05,男,B,mutouken'ichi@example.co.jp,04-2907-7051,080-3071-5143,861-030,北海道標津郡中標津町東３０条南5-2-11,株式会社ティアラ,4964426796018337,02/29,894483417734
25,尾関 裕美子,おぜき ゆみこ,45,1976-10-28,女,O,ozeki_yumiko@example.net,0771-75-2922,090-3130-2659,623-0104,京都府綾部市安国寺町1-5-9,有限会社エル,5485771568818939,07/27,633894859319
26,坂田 剛,さかた つよし,30,1991-12-04,男,A,sakatatsuyoshi@example.ne.jp,0848-93-4033,070-8455-5565,294-344,岩手県奥州市衣川沢田2-2-8,株式会社山本組,5727711738960960,11/24,642208882517
27,梶野 敏子,かじの としこ,60,1962-03-18,女,A,toshiko@example.co.jp,05-7848-9758,090-9695-4746,732-0065,広島県広島市東区牛田中4-4-16,高橋工業株式会社,372577564951826,04/29,751619599604
28,洲崎 美樹,すざき みき,21,2000-09-22,女,O,miki_suzaki@example.jp,05-6683-2639,070-3395-4159,444-2121,愛知県岡崎市鴨田町5-2-10,株式会社ヨコヤマ,4452891254267581,01/26,265455120157
29,花山 由佳里,はなやま ゆかり,53,1969-01-01,女,A,yukari_hanayama@example.co.jp,0759-44-6011,070-4094-8893,667-1313,兵庫県美方郡香美町村岡区神坂3-5-26,株式会社清水,4329064121067262,02/27,670173450297
30,戸田 めぐみ,とだ めぐみ,30,1992-03-12,女,A,megumi_toda@example.com,0583-35-4488,090-7009-5848,277-0842,千葉県柏市末広町4-4-2,株式会社翔栄,4444932487638725,04/24,960959457208
31,萩野 さとみ,はぎの さとみ,76,1946-06-04,女,B,hagino_satomi@example.jp,03-2214-8401,070-6820-5755,501-6255,岐阜県羽島市福寿町浅平3-1-6,NaN,4993103256829427,03/23,350058258779
32,宇田 峻,うだ しゅん,20,2002-01-08,男,B,shunuda@example.net,0854-85-8333,090-3719-4126,520-0476,滋賀県大津市葛川中村町1-1-1,株式会社シンエイ,4574059262376139,02/23,793780265335
33,岩崎 詩織,いわさき しおり,29,1993-08-24,女,O,shiori_iwasaki@example.jp,03-1843-7069,080-1939-4300,509-4305,岐阜県飛騨市河合町保木林4-4-16,有限会社エース,376577922336314,12/27,741098165961
34,柏井 真,かしわい まこと,65,1957-01-13,男,B,kashiwai_makoto@example.com,03-9784-2114,050-9401-9604,979-0224,福島県いわき市四倉町薬王寺4-3-19,NaN,4837816336290421,10/23,958996530316
35,山野井 翔大,やまのい しょうだい,37,1985-08-13,男,B,yamanoishoudai@example.ne.jp,03-6351-8618,070-3111-1377,733-0816,広島県広島市西区己斐大迫1-1-13,株式会社サカモト,4409656282200926,05/25,173448208351
36,瀬戸 喜弘,せと よしひろ,56,1965-11-05,男,O,yoshihiro@example.ne.jp,03-6284-1800,080-9913-2378,988-0336,宮城県気仙沼市本吉町泉沢5-1-1,有限会社ビッグ,4796586503107834,11/23,213553353730
37,水原 徳明,みずはら のりあき,34,1988-08-18,男,A,mizuhara_noriaki@example.jp,05-2304-3618,070-5905-9182,649-7113,和歌山県伊都郡かつらぎ町妙寺5-3-13,株式会社池田屋,4190259005248617,02/26,145394660852
38,村 ちさと,むら ちさと,78,1944-08-13,女,B,chisato@example.net,0847-30-2827,050-6309-5488,989-6464,宮城県大崎市岩出山下東昌寺沢2-5-21,NaN,374030196673672,03/24,857599349225
39,赤澤 隆志,あかざわ たかし,34,1987-11-19,男,A,akazawa@example.com,03-6165-6526,090-5989-8639,409-0625,山梨県大月市七保町奈良子2-2-18,株式会社キクチ,5810544084549916,05/24,767217793312
