,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,廣江 祐史,ひろえ ひろし,20,2002-08-18,男,AB,hiroshihiroe@example.ne.jp,0836-85-9133,080-7516-1990,785-0164,高知県須崎市浦ノ内立目摺木1-4-11,株式会社GRIT,4850715980123522,11/25,491032480395
1,楳木 真久,うめき みちひさ,36,1986-07-20,男,B,michihisa_umeki@example.net,03-5699-2626,080-4065-2537,753-0047,山口県山口市道場門前1-2-17,有限会社エムアンドケイ,5867074859154249,01/23,721984363732
2,坂倉 博之,さかくら ひろゆき,69,1952-11-15,男,AB,hiroyuki_sakakura@example.ne.jp,03-3887-7800,070-2388-5839,370-0115,群馬県伊勢崎市境美原3-3-1,NaN,5776280509014328,07/26,326364893278
3,都築 善隆,つづき よしたか,33,1989-04-13,男,O,yoshitaka@example.ne.jp,08-6214-8629,050-3310-4548,495-407,北海道虻田郡豊浦町上泉4-2-5,有限会社フラップ,4224097041896798,10/26,836772139781
4,中岡 一則,なかおか かずのり,20,2002-04-30,その他・不明,AB,kazunori_nakaoka@example.net,03-2393-4477,090-2446-8437,933-0935,富山県高岡市博労本町2-1-10,株式会社ネクストイノベーション,4094145737869594,02/30,305408243627
5,佐竹 裕一郎,さたけ ゆういちろう,27,1995-07-21,男,O,yuuichirou@example.net,0688-73-5441,050-7231-3906,404-0037,山梨県甲州市塩山西広門田4-1-17,有限会社タクミ,4759575304146961,04/23,620427332700
6,吉元 覚,よしもと さとる,50,1972-02-06,男,B,yoshimoto@example.ne.jp,05-7192-4753,070-2806-4778,426-0221,静岡県藤枝市高田5-5-25,有限会社エヌテック,372271895855428,01/29,121856599601
7,山路 なお,やまじ なお,56,1966-01-27,女,O,yamaji@example.co.jp,03-7620-2831,070-3787-4609,831-0005,福岡県大川市向島1-3-5,株式会社リッツ,5859139453366315,03/25,840728780576
8,水間 有記,みずま ゆき,26,1995-10-17,その他・不明,AB,mizuma_yuki@example.co.jp,03-1235-7845,070-9704-6420,790-2645,愛媛県松山市小屋町4-1-25,富士商事株式会社,5318191656473817,10/22,981103040829
9,梅田 雄人,うめだ ゆうと,26,1996-01-06,男,O,umeda_yuuto@example.ne.jp,03-6432-3289,050-1363-8101,520-1453,滋賀県高島市朽木雲洞谷5-4-19,株式会社エスエス,4144631222358464,02/25,652217801418
