,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,江渕 法子,えぶち のりこ,46,1976-08-28,女,O,noriko_ebuchi@example.net,0769-14-2858,070-3290-8628,409-2532,山梨県南巨摩郡身延町大野2-2-1,有限会社共栄工業,5464195052547945,04/30,842690591687
1,宮島 晴海,みやじま はるみ,37,1984-09-18,女,O,harumimiyajima@example.ne.jp,05-3760-4555,070-6253-4695,997-0809,山形県鶴岡市苗津町1-5-29,有限会社ワーク,372307084211987,03/31,192094064586
2,車田 裕亮,くるまだ ゆうすけ,80,1941-10-08,男,A,kurumada_yuusuke@example.co.jp,03-6326-4852,050-4752-4391,270-035,岩手県宮古市花輪5-5-13,NaN,5033352037023550,04/25,748168216652
3,小林 慎一郎,こばやし しんいちろう,39,1983-06-19,男,A,shin'ichirou_kobayashi@example.co.jp,03-2266-8768,080-6008-4393,600-8232,京都府京都市下京区南町3-5-5,株式会社エグゼ,5251043096833653,07/30,403894037241
4,早川 瑠璃,はやかわ るり,74,1948-02-04,女,O,hayakawa@example.co.jp,0753-45-3090,050-3756-8472,340-017,青森県十和田市東二番町3-5-22,NaN,5117363015463873,03/30,336947595998
5,菊地 ユカリ,きくち ゆかり,75,1946-12-02,女,A,kikuchi@example.ne.jp,0514-65-5818,090-2744-9140,454-0904,愛知県名古屋市中川区八田本町3-2-29,NaN,4761202935546345,11/30,338187695055
6,仲野 ゆりこ,なかの ゆりこ,77,1945-01-17,女,B,nakano_yuriko@example.ne.jp,06-1923-4935,080-7452-9828,697-0514,島根県浜田市旭町市木4-2-21,NaN,5452473103699330,08/30,227224706505
7,寺尾 早希,てらお さき,70,1952-03-15,女,O,saki_terao@example.com,04-1604-2573,070-4279-3506,950-2113,新潟県新潟市西区内野山手2-1-29,NaN,372353477169589,12/31,100633983747
8,井畑 沙希,いばた さき,80,1941-10-26,女,AB,saki_ibata@example.net,03-1005-4164,090-9188-3369,373-0833,群馬県太田市牛沢町3-2-22,NaN,5082460558287222,05/32,144063154953
9,倉本 鮎子,くらもと あゆこ,78,1944-07-08,女,O,ayuko_kuramoto@example.ne.jp,0436-50-6471,050-2812-5901,801-206,北海道河東郡士幌町士幌仲通2-4-6,NaN,5767936912200696,05/28,313634861701
10,菅原 朗,すがわら ろう,57,1965-01-04,男,O,rou_sugawara@example.net,0853-68-5369,070-3972-1834,259-1312,神奈川県秦野市春日町4-5-4,株式会社共進,5669326584018464,11/28,675132382866
11,金城 良子,きんじょう よしこ,59,1963-02-15,女,O,kinjouyoshiko@example.co.jp,04-1577-7284,070-9545-5850,556-0003,大阪府大阪市浪速区恵美須西2-3-19,株式会社ACE,4596786006967874,02/25,436282576223
12,流石 浩二,さすが こうじ,73,1949-02-10,その他・不明,A,kouji@example.com,03-4688-5060,070-7717-7919,689-2212,鳥取県東伯郡北栄町下種5-4-21,NaN,5127561132638113,02/23,783631850484
13,日野 なつめ,ひの なつめ,22,1999-11-01,女,A,natsume@example.net,03-6529-2706,050-6846-2538,610-0255,京都府綴喜郡宇治田原町郷之口1-5-27,株式会社井上商店,5140458876008072,03/24,935087455503
14,三国 明美,みくに あけみ,35,1987-05-11,女,B,mikuni_akemi@example.net,0578-90-2238,080-1864-6976,296-0015,千葉県鴨川市川代5-5-21,有限会社イマジン,4727210982696407,12/29,436242068469
15,河辺 智恵,かわべ ちえ,24,1998-01-14,女,A,chie_kawabe@example.net,0718-59-8557,090-7487-2132,989-0259,宮城県白石市半沢屋敷前2-4-5,株式会社ジーテック,4992984972035179,07/23,592816361819
16,中口 優貴,なかぐち ゆうき,76,1946-02-19,女,B,yuuki@example.jp,0627-26-4476,090-8931-2938,610-0241,京都府綴喜郡宇治田原町南4-2-25,NaN,4484012043796304,10/27,207438797941
17,杉村 梨紗子,すぎむら りさこ,44,1978-04-08,女,A,sugimura_risako@example.jp,04-8735-1955,080-2214-2260,615-0014,京都府京都市右京区西院巽町3-4-27,有限会社なかむら,5052438312146259,10/29,107262173732
18,小糸 智和,こいと ともかず,69,1952-11-20,男,A,tomokazukoito@example.net,03-9398-1270,070-4183-6559,969-6342,福島県大沼郡会津美里町倉田4-1-16,NaN,5694078236635341,09/31,297416116621
19,松吉 由香,まつよし ゆか,20,2001-11-09,女,B,matsuyoshi@example.net,0699-90-7293,070-9416-1121,607-8223,京都府京都市山科区勧修寺瀬戸河原町1-5-25,有限会社グリーンライフ,4700970480428562,08/31,283875300652
20,池上 享子,いけがみ きょうこ,73,1949-03-21,女,O,kyouko@example.jp,08-7765-2505,070-1206-8729,480-0124,愛知県丹羽郡大口町萩島1-1-19,NaN,373491365781451,01/24,213330912688
21,朝原 怜,あさはら れい,62,1960-06-07,その他・不明,B,rei_asahara@example.com,05-7117-5279,070-6705-3530,487-0014,愛知県春日井市気噴町2-1-23,NaN,4573709955580498,02/31,847464661483
22,南野 あい,みなみの あい,38,1984-07-09,その他・不明,O,minamino_ai@example.com,03-1504-3900,090-1934-2152,309-1105,茨城県筑西市三郷4-2-7,株式会社フローラ,5283788378831237,05/27,899211006833
23,荒川 みちこ,あらかわ みちこ,63,1958-11-19,女,A,arakawamichiko@example.ne.jp,03-2592-8988,090-9581-9609,590-0436,大阪府泉南郡熊取町高田4-1-4,NaN,5297147641350418,04/26,373555859284
24,小野崎 由希子,おのざき ゆきこ,27,1995-03-21,女,AB,onozaki@example.net,03-8479-4686,050-2410-4567,969-0403,福島県岩瀬郡鏡石町小栗山4-1-12,有限会社フォース,5623813845241832,07/30,959176535051
25,須川 香緒里,すがわ かおり,49,1973-04-11,女,B,kaorisugawa@example.jp,03-8026-4975,070-1225-6073,940-1134,新潟県長岡市妙見町5-3-25,株式会社サンテック,5281472956271628,03/30,581548144538
