,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,西尾 まみ,にしお まみ,24,1998-05-28,女,AB,mami_nishio@example.net,03-8540-7636,050-7479-4412,930-1366,富山県中新川郡立山町横江野開3-1-12,株式会社高橋工業,5408486258126488,09/31,701247987862
1,猪瀬 英昭,いのせ ひであき,39,1983-07-01,その他・不明,A,hideaki@example.jp,03-2669-1427,050-5287-4751,869-0455,熊本県宇土市椿原町1-1-20,株式会社クエスト,5709210905814349,10/30,169651810184
2,濱川 美帆子,はまかわ みほこ,62,1960-01-11,女,A,mihokohamakawa@example.co.jp,03-1194-4710,070-2384-1784,938-0282,富山県黒部市宇奈月温泉1-2-14,NaN,5581567477444107,02/25,231617939925
3,鈴木 霞,すずき かすみ,43,1978-12-05,女,O,kasumisuzuki@example.jp,0861-72-8202,080-8963-9898,740-027,北海道深川市錦町北1-2-22,有限会社サンユー,379376996593174,04/26,987669362622
4,野口 乃里子,のぐち のりこ,20,2002-02-20,女,AB,noguchinoriko@example.com,0417-53-2038,090-5736-5232,806-0061,福岡県北九州市八幡西区京良城町4-5-17,有限会社ティーアンドエム,4067966082402311,10/28,741644355528
5,高井 清香,たかい さやか,20,2002-03-21,女,A,takai_sayaka@example.jp,08-2740-3730,050-2837-6352,328-0025,栃木県栃木市仲仕上町4-3-18,株式会社タイキ,4639059348867040,02/25,549933087477
6,玉木 喜美子,たまき きみこ,29,1993-04-29,女,A,tamaki_kimiko@example.net,03-2302-6794,080-1533-6065,876-1101,大分県佐伯市狩生4-1-3,株式会社アイ・コーポレーション,5637845685460175,03/24,322411344590
7,福嶋 宏行,ふくしま ひろゆき,21,2001-01-12,その他・不明,A,fukushimahiroyuki@example.ne.jp,0843-32-4038,080-4758-4138,949-8557,新潟県十日町市水沢市之沢2-5-24,有限会社クエスト,5645985471579435,12/27,421140177785
8,園部 友哉,そのべ ともや,20,2002-06-20,男,A,sonobe_tomoya@example.com,0692-99-3666,050-2799-2966,182-404,秋田県山本郡三種町富岡新田2-3-18,有限会社ピュア,4835877860151018,03/32,993478388610
9,内藤 万希子,ないとう まきこ,28,1994-07-20,女,O,naitou@example.jp,04-5368-7365,080-7578-1172,410-2407,静岡県伊豆市柏久保4-5-6,株式会社S,4631367727914824,09/23,501833072257
