,氏名,氏名（ひらがな）,年齢,生年月日,性別,血液型,メアド,電話番号,携帯電話番号,郵便番号,住所,会社名,クレジットカード,有効期限,マイナンバー
0,瀬戸口 亜沙美,せとぐち あさみ,27,1994-12-11,女,AB,asami_setoguchi@example.ne.jp,0636-50-9899,050-9285-8622,379-1115,群馬県渋川市赤城町溝呂木3-3-2,有限会社岡田商事,376899404174034,10/24,540901346474
1,赤松 光世,あかまつ こうせい,23,1999-03-18,女,O,kousei_akamatsu@example.net,07-6010-3543,090-4361-1505,962-0866,福島県須賀川市栗谷沢2-4-18,有限会社シンエイ,371738277180111,09/23,566991504459
2,栗林 わかな,くりばやし わかな,80,1942-03-18,女,O,wakana_kuribayashi@example.com,06-5598-3947,090-4310-2913,235-0022,神奈川県横浜市磯子区汐見台3-4-29,NaN,4394670756412942,01/29,346552651876
3,松木 寿代,まつき ひさよ,75,1946-10-17,女,AB,hisayo_matsuki@example.net,0788-20-2993,070-4525-8058,679-4145,兵庫県たつの市揖保町萩原5-5-11,NaN,5586056580637451,09/31,870545020000
4,平本 美紀子,ひらもと みきこ,80,1942-06-30,女,A,hiramoto_mikiko@example.ne.jp,03-8365-4866,080-6841-9759,663-8226,兵庫県西宮市今津港町1-1-26,NaN,377534817165516,07/26,293505524537
5,沓名 理沙,くつな りさ,65,1956-12-07,女,A,risa_kutsuna@example.jp,05-8465-3513,050-1335-1744,957-0124,新潟県北蒲原郡聖籠町蓮野3-5-18,NaN,4890133623585621,08/26,898784910684
6,間渕 那奈,まぶち なな,60,1962-09-10,女,A,nanamabuchi@example.com,03-3794-8566,070-2213-3171,859-5153,長崎県平戸市戸石川町1-1-26,有限会社斉藤製作所,5543004783741098,07/26,446054738092
7,根木 素子,ねぎ もとこ,55,1966-12-24,女,AB,negimotoko@example.co.jp,04-2167-9983,080-9180-7601,861-2203,熊本県上益城郡益城町上陳1-5-2,株式会社コトブキ,374055104446134,11/22,110476215157
8,柳谷 円,やなぎや まどか,31,1991-02-11,女,A,yanagiya_madoka@example.net,0564-11-9941,070-3409-3550,436-0070,静岡県掛川市紅葉台5-2-22,株式会社アイディール,4048117755453499,12/23,474500042336
9,座間味 千草,ざまみ ちぐさ,77,1944-12-04,女,A,zamami_chigusa@example.com,03-5259-3162,050-2239-3873,249-0007,神奈川県逗子市新宿4-1-21,NaN,4054348731141440,06/29,675540457357
10,鵜飼 小百合,うかい さゆり,21,2001-01-02,女,A,ukaisayuri@example.co.jp,03-6666-6699,080-1836-8407,850-251,北海道釧路市桜田4-2-11,有限会社鈴木興業,5222147247245160,05/30,444360964935
11,疋田 友美子,ひきた ゆみこ,76,1946-07-22,女,A,hikita_yumiko@example.net,06-7506-4496,050-6488-5772,675-2103,兵庫県加西市鶉野町5-2-16,NaN,5774720957617920,07/27,443599433198
12,渡邉 美枝子,わたなべ みえこ,78,1944-09-11,女,O,mieko@example.jp,07-7682-6707,090-5712-9627,262-0007,千葉県千葉市花見川区み春野5-5-24,NaN,4154569038483569,04/30,772531768783
13,板野 あゆ子,いたの あゆこ,67,1955-08-21,女,A,ayukoitano@example.co.jp,03-7928-1216,080-3659-8330,960-0444,福島県伊達市諏訪前2-2-11,NaN,4821525719403979,12/31,553488079922
14,喜島 敦美,きじま あつみ,77,1945-03-02,女,AB,atsumi_kijima@example.co.jp,03-6362-7859,080-6707-9928,819-0161,福岡県福岡市西区今宿東3-3-2,NaN,4284113974589987,04/24,183332228950
15,熊本 美里,くまもと みさ,74,1948-05-26,女,AB,misa_kumamoto@example.jp,03-9297-5827,070-8569-7033,623-0021,京都府綾部市本町3-2-3,NaN,5153876183588547,02/27,672151041231
16,堀野 美琴,ほりの みこと,59,1962-10-03,女,A,mikoto_horino@example.co.jp,08-9787-6970,050-9526-1788,297-0072,千葉県茂原市大登2-5-2,有限会社栄進,4627071744286866,01/31,737923946095
17,芦田 弘子,あしだ ひろこ,78,1944-07-19,その他・不明,AB,hiroko_ashida@example.co.jp,0455-26-5900,070-7889-5782,305-0021,茨城県つくば市古来5-5-25,NaN,4070196527221771,04/24,514933078952
18,重松 那奈,しげまつ なな,58,1964-08-12,女,A,nana@example.jp,03-4445-6417,090-2004-7841,279-0032,千葉県浦安市千鳥5-4-29,有限会社ジュネス,5000692519516118,08/23,475664750587
19,柳澤 百合香,やなぎさわ ゆりか,49,1973-05-15,女,A,yanagisawa_yurika@example.ne.jp,03-1295-4185,070-2305-4463,781-7303,高知県安芸郡東洋町野根丁2-1-28,株式会社ファーストステップ,4556905539729170,05/25,910300394999
